,별점,리뷰내용,작성자,작성일자,공감,비공감
427,10,모든걸 잃었음에도 좌절하지 않는 토르. 6개의 인피니티 스톤이 박힌 타노스 건틀렛의 힘마저 가르며 내리꽂는 스톰 브레이커는 토르의 의지가 아닐까. ,이카로스(cand****),2018.05.08 18:03,7,0
428,10,캡아 등장씬이랑 ㅌ토르 지구귀환씬 소름 ㄷ.... ,ming****,2018.05.08 00:20,7,0
429,10,타노스가 정확히 짱깨 절반만 없애줬음좋겠다 ,Veritas(lsyu****),2018.05.07 23:49,7,0
430,10,관람객내년 어벤져스 4를 손꼽아 기다리는 설레임 ,슈퍼세인트(rein****),2018.05.06 10:32,7,0
431,10,관람객번역다시해서 재개봉 부탁드립니다 ,박서진(tjsc****),2018.05.06 09:20,7,0
432,10,관람객마블 10년 노력의 결실. 마블팬이면 꼭보시길 ,dddd(ksl4****),2018.05.05 15:51,7,0
433,10,관람객완전 재미집니다 진짜입니다. ,zasm****,2018.05.03 21:00,7,0
434,10,시빌워보다 잼있다 진심 ,불꽃남자(dlgh****),2018.05.01 09:23,7,0
435,9,"관람객잘하면 타노스 잡을 수 있었을거 같은데, 자꾸 빠져나갈 틈을 주네요. 덕분에 쫄깃하네 ",은찬(drek****),2018.04.29 23:31,7,0
436,10,스타로드만 안 나댔으면 영화 벌써  끝났음 ,suju****,2018.04.29 21:41,7,0
437,10,다음편 제작비를 반으로 줄였네.. ,dbfk****,2018.04.29 21:26,7,0
438,10,관람객믿고 보는 마블영화 ! 4편이 기대돼요 ,태현(skim****),2018.04.29 21:24,7,0
439,10,마블 영화는 믿고 보셔도 좋습니다 ,박지연(meyo****),2018.04.29 20:18,7,0
440,10,지루하다는 애들은 마블시리즈하나도안보고영화본거냐?ㅋㅋㅋ  마블영웅들 다 나오니까서로얘기만해도 재밌던데 ,오진규(dhwl****),2018.04.29 11:46,7,0
441,10,오역으로 닥터스트레인지를 개찐따로 만들고 닉퓨리는 죽는 순간 까지 어머니를 찾는 효자를 만들었지만.. 초반5분과 후반 스토리 연출 전투씬 주옥같다..롤러코스를 탄것같은 영화 ,마케루나(nkan****),2018.04.29 09:51,7,0
442,10,관람객스타로드  아오.. 죽빵을 갈기고 싶다 ,스파이크(tige****),2018.04.29 07:38,7,0
443,10,스타로드 때문에 망했다는 건 이해를 제대로 못함. 다들 스타로드한테 하지 말라고 할 때 닥스는 가만히 있었음. 왜? 닥스는 승리하는 미래를 봤으니까. 그렇게 타노스가 깨어나고 타임스톤을 넘기는 게 결국 승리하는 미래...,알켈리(fpdl****),2018.04.29 04:40,7,0
444,10,내용 이해 안가는 부분이 있으면 재미없다고 느끼는 사람들이 있는데 마블 전작들 싹 정주행하고 보는게 좋음 ,Gmchun(432e****),2018.04.29 04:31,7,0
445,10,닥터 스트레인지 대사 중 '이제 가망이 없어'는 '이제 최종단계야'가 옳은 번역으로 해석의 차이라고 볼 수도 없는 완벽한 오역입니다. 닥터 스트레인지라는 인물의 캐릭터성을 죽이면서 어벤저...,Lucete(mj42****),2018.04.29 04:10,7,0
446,10,번역가 잘못인데 영화에 평점 1점 주는건 잘못된거 같은데... ,신동석(dong****),2018.04.28 10:14,7,0
447,10,도중에 화장실 각을 못잰다.. ,halamadrid(chx1****),2018.04.28 06:27,7,0
448,10,관람객이건 그냥 봐야돼요 무조건 보세요 여러분 그냥 히어로물이 아닙니다 ,헐(tonh****),2018.04.27 22:38,7,0
449,10,와칸다 포에버!!!! ,kes0****,2018.04.27 22:35,7,0
450,10,오랜만에 돈주고 봐도 아깝질 않은 영화였다... ,hj19****,2018.04.27 22:20,7,0
451,10,영화가 끝난후 모두가 숙연했다.. ,asdfzxcvqwer(khj4****),2018.04.27 18:22,7,0
452,10,관람객더이상 잘만들순없다 최고의영화로 인정합니다 ,쫑가(pooh****),2018.04.27 04:58,7,0
453,10,와칸다포에버!! 토르 씹간지 ,긱스의가정방문(rose****),2018.04.27 02:26,7,0
454,8,관람객처음부터 집중해야함 근데 또 막 집중 안한다고 못볼 내용도 아님. 그냥 딱 마블! 청소년 그루트 핵존귀. ,신 자유부인(serg****),2018.04.27 01:37,7,0
455,10,관람객결말따지지마 그냥봐 어차피 내년에도볼거잖아 ,1710****,2018.04.26 02:46,7,0
456,10,관람객유료예고편같은 느낌도있지만 재밌었어요 ,jademarble(pso0****),2018.04.25 22:05,7,0
457,10,스포일러가 포함된 감상평입니다. 감상평 보기타노스와 어벤져스의 싸움수준 ㄹㅇ실화냐?? 진짜 세계관최강자들의 싸움이다... 그찐따같던 토르가 맞나? 진짜 어벤져스는 전설이다.. 진짜 옛날에 아이언맨 수트만드는거봣는데 나노입자 마크50입는거보고 진짜 내가다 감격...,박찬호(qkrc****),2020.05.05 23:50,8,1
458,7,윈터솔져 비전 첫등장에 어벤져스멤버들을 혼자 상대할정도로 엄청 강력했는데 시리즈가 거듭될수록 신규캐릭터들이 대거 등장하고 묻히면서 이렇다할 활약없이 버프된게 아쉬움 마치 드래곤볼처럼 캐릭터들이 버프되는느낌 야무치 천...,로맨짱(loma****),2020.02.16 12:50,8,1
459,10,솔직히 몰입감은 엔드게임보다 이게 더 높음. 처음부터 끝까지 ,깨끗한물(rhkd****),2019.07.08 15:22,8,1
460,10,미쳤다 진짜 앤드게임보기 전 정주행한 나 아주 칭찬해 ㅠㅠ ,히히(suju****),2019.04.19 00:06,8,1
461,10,이건 너무 대박이네요.진짜 미쳤네요. ,조정빈(vini****),2018.04.29 08:38,8,1
462,10,관람객인피니티워2를 기대한다 ,lucia(like****),2018.04.27 21:55,8,1
463,10,관람객결말이 너무 쇼킹...ㅠㅠ ,박삼복(amzi****),2018.04.25 13:05,8,1
464,1,인맥으로 일하는 박지훈 번역가의 공이 크네요 ,초록색(02hs****),2018.05.09 20:38,9,2
465,8,오랜만에 다시보니 모르고 지나쳤던 복선들이 한가득이라 결말을 알고있음에도 재밌었음. ,스파이클(dogi****),2020.02.21 11:52,6,0
466,10,관람객재밌네요 어벤져스 인피니티워 ,멍멍(mild****),2019.12.24 19:16,6,0
467,10,"소름 돋은 4컷: 캡틴 아메리카의 등장, 블랙 팬서의 와칸다 포에버, 토르의 강림, 닥터 스트레인지의 마법 폭격 ",햇살소년(wjdg****),2019.11.06 13:11,6,0
468,8,수많은 등장인물과 장면전환이 있지만 전혀 복잡하지 않게 연출한 부분이 놀랍다. ,충충충(choo****),2019.09.11 15:55,6,0
469,10,저질 냄새나는 국산영화도 다 없어야지 영화시장의 균형이 맞는다 ,정소연(symo****),2019.09.03 23:13,6,0
470,10,번역 빼고 모든 것이 완벽 ,테트라비블로스(onl2****),2019.08.01 16:32,6,0
471,10,헉소리나오는 결말이었다.. ,가넷(mil0****),2019.07.20 20:27,6,0
472,10,어벤져스시리즈중 단연코1등 ,passion7(rcnl****),2019.07.13 23:04,6,0
473,10,지금까지 나온 마블영화 다봤는데 이게 제일 명작이라고 생각한다. ,myso****,2019.06.22 13:41,6,0
474,9,시리즈마다 천만명이상이 볼 만 하다. ,탑클래스A동(thej****),2019.06.07 20:38,6,0
475,10,앤드게임 보고 인피니티워를 한번 더 봤는데 충격적인 결말이지만 전체적으로 3가 제일 명작인듯. ,Damien(yoos****),2019.05.06 01:10,6,0
476,10,엔드게임 보고 난 후 다시 보니까  다른 느낌이네요 ,timxthyxh(tim_****),2019.05.05 01:26,6,0
477,8,어벤저스 시리즈 중 최고 ,kasun(tcat****),2019.05.04 16:36,6,0
478,10,영화 전반에 깔리는 우울하고 어두운 분위기가 최고였습니다 ,slt4****,2019.05.04 13:00,6,0
479,10,10점줘야지 말이필요있을까 ,kdg7806(cbma****),2019.05.02 00:35,6,0
