,별점,리뷰내용,작성자,작성일자,공감,비공감
664,1,이딴게 재밌냐? ㅋㅋㅋ 진짜 유치해서원. 진짜 개실망했다. 너무 재미없어서 ,voov(kbyo****),2015.04.26 19:46,10,6
665,1,노잼 낚였음...ㅇㅇㅇㅇ ,dlwh****,2015.04.25 19:57,10,6
666,1,어지럽고 산만하고 졸다왔슴. 3d보지마세용 ! 돈아까와 ,kids****,2015.04.25 16:33,10,6
667,1,영화가 아니다. 이렇게 졸린 영화 처음이다. 3d영화 실패작이라 여러갈래로  보이고 흐려보여 집중이 안됨.환불 받아야 하는데.. ,역천(vide****),2015.04.25 13:32,10,6
668,1,관람객노잼.. 너무 산만하고 스토리도 없고 이해도 잘 안되며 기억에 남는게 없음 ,주니비존스(4eve****),2015.05.02 13:12,11,7
669,1,감동은 없고 장난감.CG만 있는 단순 오락영화2시간동안 하품만 하다 나옴. ,나라시(khc7****),2015.04.26 23:01,11,7
670,1,솔직히 난 그다지는 그렇게 재미있지는 않더라 ,재미있는날(tyqs****),2015.04.26 18:32,11,7
671,1,진짜 보다가 잣다 개 씹노잼 ,류세현(92rs****),2015.04.26 18:23,11,7
672,1,이 1점은 어벤져스2에게 주는 것이 아닌 지금 어벤져스를 보러가는 것을 막고있는 시험에게 주고 있는 것이다. ,귀뚜라미(tkeh****),2015.04.25 17:04,11,7
673,1,액션을 기대했으나 무지 지루해서 못봐주겠다 ,하늘빛(swle****),2015.04.25 16:13,11,7
674,1,1편 보다 못하다. 평점 거품이다 7.5가 맞다! ,GFS(sems****),2015.04.25 14:49,11,7
675,1,8000원짜리 취침 잘 하고왔네요 ,gp36****,2015.04.25 00:36,11,7
676,1,뭐냐 이게... 유치하기 짝이없고 스토리도 없고 스케일만 큼... 보는 내내 오글거려 죽을 뻔 ,폭주코끼리(ksw1****),2015.04.30 00:13,12,8
677,1,관람객노잼. 이거밖에안해서 어쩔수없이봄 ,paul(nili****),2015.04.29 02:04,12,8
678,1,그냥 마블 10덕후들이나 하악하악 할만한 그런 영화였다. 1편보다도 재미없고 뭔 소리를 하는 건지 모르겠다 ,ㅇㅇ(love****),2015.04.26 09:14,12,8
679,1,거품이 너무 만차나!!! 이딴 애들영화가 무슨... ,가을탄남자의쓴맛(heed****),2015.04.24 01:39,12,8
680,10,관람객어벤저스 1보다 조금 더 재밌네요 하지만 어벤저스 1이 10점 만점이라는게 함정!!! ,epah****,2015.04.23 13:26,12,8
681,1,이건스토리인지뭔지 개구림 ㅠ 한국은 70년대 보는듯 편집꽝 개구림 하품5품. ,오렌지디자인(su40****),2015.04.25 13:23,13,9
682,1,관람객재미 없네요193837372 ,prot****,2015.04.26 13:46,14,10
683,1,관람객방금 보고왔는데아... 결국 영웅한명이문제일으키고 시민구하려고 용쓰는 그냥영웅스토리... 액션좋아하고 SF물을엄청나게좋아한다면 봐도되겠지만제 개인적인 평은 정말 최악이었습니다.. ,이릿(kisg****),2015.04.25 01:24,14,10
684,1,분노의 질주가 훨 재미있음 지루하고 실망~ 보다 중간에 졸았음 ,밀알(alf1****),2015.04.24 09:27,15,11
685,1,와 진짜 내가 친구랑 이거보고 진짜 쌍욕함 액션신이나 스토리 모두 1편보다 못하고 뜬끔없는 케릭턷들이 때거지로 나와서 쩌리처럼 됨 그리고 울트론이 너무약함 그냥 아이언맨이랑 비슷한정도? 그리고 그 빨간쫄쫄이는 왜나온...,코끼리(gurr****),2015.04.25 10:41,16,12
686,1,하여튼 네이버  평점은 믿을수가없다.  알바가 넘설쳐 ,건강만세(geur****),2015.04.24 08:19,18,14
687,1,타노스 나오는 10초를 보기 위해 140분을 기다려야 하는 지루함 ,acid(acid****),2015.04.24 02:40,25,21
688,5,"페이즈2 최강자라고 할 수 있는 완다와 비전의 합류, 그러나 아무리 생각해도 가장 별로인 어벤져스 영화 ",pix(pixa****),2020.09.22 11:27,3,0
689,9,마블 시리즈는 다시 봐야 세계관에 대단함을 느낄 수 있다. ,nodo****,2020.08.23 07:53,3,0
690,10,스파이더맨은 토비맥과이어 뿐이다. ,HOMEOSTASIS(xogu****),2020.07.24 00:00,3,0
691,10,무슨 말이 필요한가.어벤져스다. ,121(1212****),2020.05.27 16:56,3,0
692,6,비극을 만들어내는 영웅 ,박매력(bht6****),2020.04.27 19:54,3,0
693,8,솔직히 어벤져스 시리즈 중에선 제일 재미없는건 맞음. 근데 웬만한 다른 영화들에 비하면 평타이상! ,백승준(heyj****),2020.04.24 22:47,3,0
694,10,마블 진짜 최고야. 그리고 언제쯤 우리나라 SF영화가 이 수준으로 갈까? 머지 않았다고 생각한다. ,칼국수(sang****),2020.04.19 17:09,3,0
695,10,역시 최고야 다시봐도 잼있네요 ,yong****,2020.04.19 15:47,3,0
696,10,코어 지킬때 어벤져스들 디펜스씬 대박이었음 ,데수코어(dkst****),2020.04.15 23:23,3,0
697,7,전작의 매력있는 빌런 로키와 인피니트 사가 최강의 적 타노스에 비해 울트론의 캐릭터는 너무나 평면적이며 매력 없게 느껴진다.원작속 최강의 빌런의 캐릭터성을 조금더 구현해 냈더라면 하는 아쉬움.그러나 중반부 헐크버스터...,박민우(iomm****),2020.03.25 02:53,3,0
698,10,진짜 대박임!내 인생 영화다! ,우준(cwjk****),2020.02.15 13:54,3,0
699,10,,뚜비(hioh****),2020.01.10 14:26,3,0
700,10,오케이!!! 초능력소녀는 계속 나오는구나!!! ,내방구모아(thom****),2019.08.02 00:45,3,0
701,10,3000 세카이....!!!! ,진사성인출(vc10****),2019.05.29 11:50,3,0
702,10,"울트론,당신이 그립읍니다....영원히 기억하겠읍니다... ",이동현(dong****),2019.05.27 18:44,3,0
703,10,울트론은영원이우리기억에남을것이다 ,an43****,2019.05.19 21:39,3,0
704,8,어벤져스1에비해 많이 아쉽지만 그래도 8점 ,약한점프(twkp****),2019.05.18 18:48,3,0
705,10,재미있게 잘 봤습니다. ,TMA(yyw2****),2019.04.27 11:37,3,0
706,9,빌런이 최대 약점이다. 루소와는 다른 만화적인 액션이 매력이고 여러번 보면 보이지 않던 장면이 많다. ,콘비즈킷(yeoj****),2018.10.10 06:39,3,0
707,7,영화가 전체적으로 어수선 하지만... 어벤져스는 봐야한다. ,스카이(hoju****),2018.07.31 17:25,3,0
708,9,"블위??배너랑 총알도 못 피하는 퀵실버,울트론은 아쉬웠지만 장점이 커버해줌 ",bin(bins****),2018.07.08 17:28,3,0
709,8,정말 너무 한번에 다 보려주려다 실패한 느낌 ,도리(ssh8****),2018.05.17 22:19,3,0
710,7,주변에 히어로물 좋아하는 사람이 많아서 보게 되는 영화. 사실 개봉 당시 극장에서 봤는데 당시 넘 지루했다. 그래도  스토리를 찾아보고 보니 그럭저럭 볼만한 느낌. 1편이 좀 더재밌는거 같다. ,사자개(xyan****),2018.04.29 22:50,3,0
711,10,일명 토니가 싼똥 치우는 영화. ,향기(junh****),2018.02.26 06:50,3,0
712,10,당시 개봉했을때 매드맥스랑 같이 개봉해서 매드맥스를 봤었는데 ㅠㅠ 그때 왜 어벤져스2를 영화관에서 못봤을까...ㅠ 3나오면 그땐 4D로 보겠어!! ,데블(love****),2017.07.11 22:03,3,0
713,9,마블 조아훃ㅎㅎㅎ 히힛 ,냠냠(j701****),2017.01.26 14:11,3,0
714,10,삭제 장면이 너무 많았지만 그래도 재밌다. ,도르마무(ggo0****),2017.01.20 12:58,3,0
715,10,계속 나와줘서 고마워요ㅠ영화 넘 재밌습니다~!! ,파란하늘(zrzr****),2017.01.09 00:34,3,0
716,7,스포일러가 포함된 감상평입니다. 감상평 보기헐크vs헐크버스터 전투는 역대급이지만... 어벤져스 시리즈들중 가장 낮은 완성도...(적어도 뜬금포 헐크블위 로맨스만이라도 빼고 울트론과 막시노프 남매에게 더욱 할애했어도 이보다 잘만들었을 듯) ,hyunza남(ail2****),2016.11.17 17:36,3,0
717,7,볼거리는 화려한데 그에받쳐주는 스토리가뻔하고 지루함... 한국씬도 기대치곤 살짝기대이하였고 울트론은 ㅈㄴ쎈캐릭을기대했는데 너프쳐먹고 초딩같이행동해서 에러...전작만큼의 임팩트는없었던것같다 ,인간(tkek****),2016.11.13 14:13,3,0
718,10,관람객항상 재미있게 봅니다 누가뭐래도ㅎ ,꽁미(coco****),2016.10.25 02:04,3,0
719,10,3편 기대합니다. 제대하고 볼지는 모르겠지만 꼭 극장가서 보겠습니다 ,psy6****,2016.10.24 00:35,3,0
720,9,관람객왜 한국은 이런거 못만들지 ,니콜라스(uos9****),2016.07.09 23:18,3,0
721,10,관람객믿고보는 마블 무비에 파이어에그를 탁치고갑니다 ,지노(etet****),2016.04.08 22:48,3,0
722,10,관람객잼나게 봤어요.잘부탁드립니다 ,쿠쿠밥통(smmm****),2016.04.08 16:31,3,0
723,8,관람객재미는 있지만 1편 보다는 조금 아쉽네요... ,비쟌(ky12****),2016.03.25 08:50,3,0
724,1,노잼입니다. 예스잼아님 진짜 OO노잼 ,oabd****,2015.12.25 19:55,3,0
725,1,sdfdfsdfwefwgwgewgew ,모에피(tjsw****),2015.12.06 21:53,3,0
726,3,관람객정말어벤져스보고 인터스텔라보니까 동화책본느낌ㅋㅂㄱ ,ali2****,2015.11.03 19:57,3,0
727,5,관람객나피곤해서 잣어 너무졸려떠 그래서몰라 ,지방이(gkdu****),2015.11.03 15:42,3,0
728,7,관람객1편보다 못하다. 새로운 캐릭터는 너무 황당함 ,제라드(jink****),2015.11.02 22:19,3,0
729,6,관람객일편보다 나은 속편없다.... ,우하하호하(labl****),2015.10.29 13:29,3,0
730,6,관람객다 비슷비슷하고  .영화가 끝나는 순간...다 잊어버린다.내가 뭘 보았는가? ,psop****,2015.10.07 21:48,3,0
731,6,이걸 찍으라고 돈까지 줬다는게 사실이야??  수현 연기도 별로고. 그냥 시간 떼우기 용 특수효과만 볼만. ,rclrskbl(clea****),2015.05.18 10:08,3,0
732,2,지루한 스토리전개. 한국여배우의 아마추어 분위기+어색한 연기. 한국광고효과니 뭐니 말이 많더니 한국의 아름다운 경치를 기대했건만 헛웃음만 나옴. 무슨 목적으로 서울시 예산을 이 영화 제작진에게 선물한걸까 의문.  1...,q34589a(sky7****),2015.05.18 10:00,3,0
733,10,사람들이 얼마나 기대하고 봤길래 6~7점을 주는거지? 1점 준 사람들은 본 거 맞아? 액션도 좋았고 볼거리도 많았음 좀 산만하긴 했지만 역시 마블이란 생각을 들게 한 영화. 최고b ,유블리(ruld****),2015.05.17 16:50,3,0
734,6,CG질이 전편보다 못하구....   점수대비 기대작은 아닌듯 하네요 서울나왔다고  띄우는것 같은데... 전문가 점수가 진짜인듯 하네요 ,xman****,2015.05.14 09:25,3,0
735,10,진짜 최고!! 속편은 망한다는말은 옛말임ㅋㅋㅋ 어벤저스3가 벌써 그다려지네요!! ,망고르(mang****),2015.05.12 13:49,3,0
736,10,최고! 영화란 이런것. 대박이다 ,Aldol(brte****),2015.05.12 13:38,3,0
737,10,그냥 말이 필요없음;; ,박세진(seji****),2015.05.11 19:36,3,0
