,별점,리뷰내용,작성자,작성일자,공감,비공감
13,10,각 히어로들의 개성과 조화를 무리없이 조율. 특히 후반부 압도적 스케일과 물량의 액션 시퀀스는 입이 쩌억~ 참고로 쿠키영상에 나온 최강의 적 타노스는 2탄 아니고 3탄에 나오신답니다. 대승적 차원에서 소니만 협력해줬...,비밀(gall****),2013.12.28 00:07,123,9
14,10,마지막 전쟁씬은 트랜스포머 전쟁씬이 지루 할 정도 ,아우디(popp****),2014.02.02 00:04,108,10
15,8,상당히 벌여놓고 작정한듯 저질러놓는다.매우 유치한게 흠이지만 마블히어로들을 한 영화에서볼수있는게 어딜까. ,hsb3****,2014.02.02 00:37,91,19
16,9,슈퍼히어로들이 모여서 더 잼있다 ,신동(sdm1****),2013.09.15 22:32,81,10
17,9,헐크  로키 패는거 왜이렇게웃김 ㅋㅋㅋ ,Soarin(pji8****),2016.06.01 21:53,74,4
18,8,잘 만들어진 히어로 영화.볼거리도 괜찮고 내용도 그럭저럭. ,레피테르(demo****),2013.08.15 14:26,63,7
19,10,블록버스터 영화의 진수를 보여준 영화 ,영국신사(jpt8****),2014.05.25 20:14,59,7
20,10,어차피 이거 1점주는 놈들도 다음 마블붙은 영화 나오면 풀발 하면서 보러갈꺼면서 뭔 비평가 코스프레? ,Elk(yosh****),2015.02.26 21:44,52,4
21,9,마지막 스타크 인더스트리 건물의 하나남은 A 가 의미심장하다. ,Gammaray(dpft****),2016.10.12 22:52,48,2
22,10,레전드 영화의 시작 마블의 노예로 만든 작품 ,bcoco2(qor2****),2015.04.21 22:04,44,2
23,10,캡틴이 토니에게 희생도 못하는사람이라하는데 지금 보면 울컥하는대사.. ,fjfkskzkzk(gusr****),2019.05.05 22:10,43,2
24,10,힘들어서 밥 꾸역꾸역 먹는겈ㅋㅋㅋ 완전웃곀ㅋㅋㅋㅋ ,고로케(sunj****),2016.06.12 20:58,45,4
25,10,한마디로 그냥 최고다. 2편이 정말 기대됨 ,dake****,2014.02.01 23:40,43,4
26,10,솔직히 극장에서 보고나와 재미없다는 사람은 그때 정신 나간거다 ,Only Now(k050****),2014.02.01 23:38,59,21
27,10,"안녕 토니, 안녕 아이언맨 ",정요리너스(rlaw****),2019.04.24 21:45,40,4
28,10,후반부에 영웅들 모여서 한바퀴 앵글잡는장면 진짜 멋있다. ,강태관(siwo****),2018.04.25 22:16,35,0
29,10,이거 2 언제나와? 1년 반이나 더 기다려야 한다니ㅠㅠㅠ ,HongJunKii(besu****),2014.02.01 23:42,43,12
30,10,영화관에서 보고 스맛폰으로보고 티비로보고 그랜드슬램 달성... 역시 어벤져스 스케일 단연코 최고임.. 캐릭 중에서는 역시 헐크짱!!! 스트레스 제로메이커임 ^^♥♥♥ ,행복한왕자(chom****),2014.02.01 23:42,37,7
31,10,이 시대에 태어나서 mcu와 함께라서 행복하다 ,nick****,2018.01.29 02:01,26,2
32,8,사공이 많다고 배가 산으로 가는 게 아니다. 속편인 에이지 오브 울트론이 더욱 기대되는 이유 ,우훌루후후(dngk****),2015.04.22 20:46,26,2
33,10,다시보니까 정말 역대급이였네...ㄷㄷ ,원생이(wypa****),2016.05.10 22:56,25,2
34,9,후반에 가면 미친듯이 재미있다 ,fullmoon(ef14****),2015.06.08 16:24,24,2
35,10,히어로들을 한데 모았다는 것에서 일단 10점 ,기곰천사(lsh5****),2015.04.19 09:08,24,2
36,10,다양한캐릭터들과 헐크의반전더군다나가끔나오는 코믹정교한그래픽뭐하나빠질께없다 나도영화광이지만어벤저스는정말잼있다.호크아이.나타샤영화만나오면대박일듯 ,워메으채야쓰까잉(pmh2****),2014.04.01 02:41,24,2
37,8,Dc 니네는 왜 이런거 못만드냐... ,Jester(zerr****),2018.02.01 17:23,27,6
38,10,"내가본 첫 마블영화. 그때는 아무것도 모르고 액션 보는 재미로 봤었다. 최근 어벤져스3를보고 흥미가 생겨 일주일만에 가오갤1,2 토르1,2,3 아이언맨 1,2,3 순으로 마블영화를 정주행했다. 그리고 오늘 어벤져스를...",임전무퇴(holy****),2018.05.22 22:42,20,1
39,10,내 개인적으로 마블 영화중에서 최곤거같다.마블 히어로들이 다 나와서 그런지 더 스릴있고 멋있다왠지 과자 선물 세트를 받은 느낌이랄까?2편이 기대된다 진짜 최고.♡ ,크리스탈(tnwj****),2014.10.05 01:48,23,5
40,10,결국 1편에 나오는 원년 멤버들만 살렸군. ,재능10노력7(snfl****),2018.04.26 22:12,19,2
41,10,더빙따위로 봤는데도 이정도면 머 게임 끝이라고생각한다.. ,손예진(bhhb****),2014.02.02 12:29,21,5
42,10,밑에놈.. 토르 망치는 토르빼곤 아무도못드는거임원래. 세계관도 이해못하면서 뭘 영화를 까고안잣음.. ,후달달달(ookb****),2016.05.09 21:48,23,7
43,10,개인적으로 헐크가 짱이닼ㅋㅋ ,쿨아키(yoon****),2015.05.05 20:14,16,1
44,10,"어벤져스, 전설의 시작 ",2booms(crea****),2019.05.01 16:45,15,1
45,10,마블시리즈는 언제나 나를 실망시키지 않는다. ,Empty(soma****),2014.03.28 15:59,15,1
46,10,I'm always angry ,톰헨슨(qock****),2015.04.25 05:15,16,2
47,10,어벤져스 시리즈 중 최고다. 한번 더 봐도 좋을정도로.. 아이언맨 3000만큼 사랑해 ,유나미르(tlst****),2019.04.27 14:59,13,0
48,10,"히어로 무비, 그 전설의 시작 ",HOMEP HOJIB(col1****),2018.04.04 07:48,13,0
49,10,찡했다 어벤져스를 앞으로 못본다는 생각에 ,dandy94김영균(kyk7****),2019.05.06 10:52,14,1
50,10,어벤져스 왜 이제야 봤을까.... 이건 직접 영화관 가서 봐야 했다 ㅜㅜㅜ 아 진짜 존멋 미친 존멋 왜 마블 마블 하는지 알겠어요 엉엉 어벤져스 사랑해요 ?????? 마지막 엔딩 귀욥 ㅎㅎ ,호갱(smdu****),2017.03.18 14:41,14,1
51,9,엔드게임 시청하고 다시보니 감회가 남다른 영화. 어벤져스 시리즈 중에서 액션신만은 1편의 뉴욕전이 쵝오!!!! 부다페스트 대사는 여기서도 나오는군... 토니는 핵미사일을 안고서 여기서도 헌신을 했다... 엔딩크레딧 ...,굶주린배(fsre****),2019.05.04 21:12,15,2
52,8,스토리가 느슨해도 액션신 하나로 관중들을 압도한다. ,김민석(topt****),2014.09.22 17:44,17,4
53,9,처음부분은좀지루한감이 있었는데후반부는정말재밌었어요! ,지혀니(wlgu****),2014.02.02 01:48,19,6
54,7,모든 캐릭터가 자신들의 존재감을 화려하게 화끈하게 ,깊은(itre****),2019.05.02 15:56,12,0
55,7,본격적인 마블 시네마틱 유니버스의 시작. 히어로를 한데 뭉치게하는건 성공했지만 일부 멤버의 경우는 아이덴티티는 둘째치고 기본적인 정보조차도 결여되어진 상태에서의 출발이 낯설게 느껴진다. ,킹날두빛날두갓날두(htmd****),2019.06.25 14:44,17,5
56,10,DC를 이기기 시작한 전설 ,hansh1021다솜(hans****),2019.04.27 06:31,12,1
57,10,7년만에 다시 봤는데 오프닝때 인류를 재로 만든다는 멘트가 나오고  엔딩 쿠키에서 타노스가 나옴ㄷㄷㄷ ,다니엘혀니(dani****),2019.04.01 09:51,12,1
58,10,노트북으로 봤는데도 이렇게 재미있다니..! 2편도 기대되네요. ,김태하(taeh****),2015.04.25 01:09,13,2
59,10,디즈니 쁠러스 런칭 기념 정주행중 ㅋㅋ ,qweweqeD(taij****),2021.11.13 23:52,10,0
60,10,진짜 재밌다. 역시 마블은 믿고 볼 수 있어요. 사랑해요. ,풋사과(dbsw****),2016.07.31 19:46,10,0
61,10,히어로 영화에서 다크나이트의 그림자를 걷어내는데 성공한 영화 이 뒤에 나온 대부분의 히어로 영화가 어벤져스1을 모방하는데 허덕이고 있다 ,주꾸미P(side****),2019.04.27 00:58,11,1
62,9,이전 마블영화를 다 예고편으로 만들어버리는 영화.. 물론 그런 의도였겠지만 ,jjaj****,2014.05.20 18:58,12,2
63,10,1편인데 너무 잘만들었네 ,쿵쿵뿜뿜(love****),2019.08.24 23:08,9,0
