,별점,리뷰내용,작성자,작성일자,공감,비공감
817,10,관람객10 5졌다 그냥.... ,이채연(znss****),2019.07.01 16:35,4,0
818,10,말이 필요한가 왜 우리나라는 재개봉 안하는거임.. ,LuNa(luna****),2019.07.01 15:46,4,0
819,10,관람객마블은 역시 언제나 진리! ,한글(wlzl****),2019.07.01 15:18,4,0
820,8,캡틴마블보다 낫다 재밌게 봤음 ,황윤선(qwsx****),2019.07.01 14:30,4,0
821,10,"지금까지 쭉 힘들어왔던 토니만큼은 행복하길 바랬는데, 끝까지 마음아프네 ",ScotchTenTen(whgu****),2019.06.30 19:45,4,0
822,10,어벤져스 3000만큼 사랑해 ,손주영(thsw****),2019.06.30 13:53,4,0
823,10,관람객액션영화계의 최고봉. ,윤선희(rlac****),2019.06.30 13:39,4,0
824,9,관람객재미있게 보았어요~^^ ,cjsg****,2019.06.30 09:23,4,0
825,10,관람객기대한 만큼 재밌게 봤습니다 최고 ,GENESIS(e552****),2019.06.30 07:37,4,0
826,10,3000만큼  사랑합니다 ,류경환(gyeo****),2019.06.29 20:13,4,0
827,10,좋아 좋아 좋아 좋아 좋아 ,송호은(ghdm****),2019.06.29 19:19,4,0
828,9,관람객토니 3000만큼 사랑해여 ,앙마빈(bint****),2019.06.29 18:50,4,0
829,10,관람객너무재밌고 또 너무재밌엇다 ,rlar****,2019.06.29 18:05,4,0
830,10,토니스타크의 아이언멘의 첫대사와 마지막을 마무리한 명대사 (I'M IRON MAN)너무멋있다 ,게임페인의 친구(rlag****),2019.06.29 16:57,4,0
831,10,어벤저스의 감동을 있는 그대로 느낄 수 있는 시대에 살았다는 것만으로도 인생의 큰 행복이다. ,카아디(cafe****),2019.06.29 16:35,4,0
832,10,관람객어벤져스 엔드게임 굿 굿 ,AK(ybi1****),2019.06.29 15:57,4,0
833,10,관람객역시 대박! 재밌어요. 아이언맨 멋져요 ,비단쌤(gdhk****),2019.06.29 14:45,4,0
834,10,관람객사랑합니다 마블 그리울거에요 ,atom****,2019.06.29 13:27,4,0
